movieId,title,genres,year,imdbId,imdbLink,poster,youtubeId,tags,r_counter
1,Toy Story,"Adventure, Animation, Children, Comedy, Fantasy",1995,0114709,http://www.imdb.com/title/tt114709,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",K26_sDKnvMU,"['pixar', 'pixar', 'fun']",215
2,Jumanji,"Adventure, Children, Fantasy",1995,0113497,http://www.imdb.com/title/tt113497,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY268_CR10,0,182,268_AL_.jpg",3LPANjHlPxo,"['fantasy', 'magic board game', 'Robin Williams', 'game']",110
3,Grumpier Old Men,"Comedy, Romance",1995,0113228,http://www.imdb.com/title/tt113228,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",rEnOoWs3FuA,"['moldy', 'old']",52
4,Waiting to Exhale,"Comedy, Drama, Romance",1995,0114885,http://www.imdb.com/title/tt114885,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg",j9xml1CxgXI,None,7
5,Father of the Bride Part II,Comedy,1995,0113041,http://www.imdb.com/title/tt113041,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",ltwvKLnj1B4,"['pregnancy', 'remake']",49
6,Heat,"Action, Crime, Thriller",1995,0113277,http://www.imdb.com/title/tt113277,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGMwNzUwNjYtZWM5NS00YzMyLWI4NjAtNjM0ZDBiMzE1YWExXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",2GfZl4kuVNI,None,102
7,Sabrina,"Comedy, Romance",1995,0114319,http://www.imdb.com/title/tt114319,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3OTQ2NTk2ODNeQTJeQWpwZ15BbWU4MDQ3NTM4MDMx._V1_UX182_CR0,0,182,268_AL_.jpg",twTksx_lWB4,['remake'],54
8,Tom and Huck,"Adventure, Children",1995,0112302,http://www.imdb.com/title/tt112302,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1_UY268_CR2,0,182,268_AL_.jpg",-C-xXZyX2zU,None,8
9,Sudden Death,Action,1995,0114576,http://www.imdb.com/title/tt114576,"https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR0,0,182,268_AL_.jpg",SCOxEKkuWG4,None,16
10,GoldenEye,"Action, Adventure, Thriller",1995,0113189,http://www.imdb.com/title/tt113189,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",lcOqUE0u1LM,None,132
11,"American President, The","Comedy, Drama, Romance",1995,0112346,http://www.imdb.com/title/tt112346,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1_UY268_CR4,0,182,268_AL_.jpg",UrC75wUKoFM,"['politics', 'president']",70
12,Dracula: Dead and Loving It,"Comedy, Horror",1995,0112896,http://www.imdb.com/title/tt112896,"https://images-na.ssl-images-amazon.com/images/M/MV5BZWQ0ZDFmYzMtZGMyMi00NmYxLWE0MGYtYzM2ZGNhMTE1NTczL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjM5ODMxODc@._V1_UX182_CR0,0,182,268_AL_.jpg",tVdn8JH91Dg,None,19
13,Balto,"Adventure, Animation, Children",1995,0112453,http://www.imdb.com/title/tt112453,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjBhNmFlZjMtMzhlYy00NDBlLWFiMjctMmE0ZjgwOGM2MTNmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg",a6lGULmQdb0,None,8
14,Nixon,Drama,1995,0113987,http://www.imdb.com/title/tt113987,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzBlOWY0ZmEtZjdkYS00ZGU0LWEwN2YtYzBkNDM5ZDBjMmI1XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",dO2LWKpeyI8,"['politics', 'president']",18
15,Cutthroat Island,"Action, Adventure, Romance",1995,0112760,http://www.imdb.com/title/tt112760,"https://images-na.ssl-images-amazon.com/images/M/MV5BMDg2YTI0YmQtYzgwMi00Zjk4LWJkZjgtYjg0ZDE2ODUzY2RlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@._V1_UX182_CR0,0,182,268_AL_.jpg",JXxFESHwnX0,None,13
16,Casino,"Crime, Drama",1995,0112641,http://www.imdb.com/title/tt112641,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOWYzNDYtYmM4YS00N2NkLTk0NTAtNjg1ODgwZjAxYzI3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX182_CR0,0,182,268_AL_.jpg",EJXDMwGWhoA,['Mafia'],82
